"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2667537,"July 30, 2023",Texas,"Port Arthur","711 Procter St",0,7,0,0,0,N/A
2666933,"July 30, 2023",Indiana,Muncie,"900 block of E Willard St",1,17,0,1,2,N/A
2668556,"July 30, 2023",Massachusetts,Springfield,"Leyfred Terr",0,4,0,0,0,N/A
2667046,"July 29, 2023",California,"Los Angeles","2121 E 99th Pl",1,3,0,0,0,N/A
2666201,"July 28, 2023",Florida,Tampa,"E Shadowlawn Ave and N 36th St",1,3,0,0,0,N/A
2666500,"July 28, 2023",Florida,"Fort Lauderdale","NW 19th St and MLK Jr Ave",0,4,0,0,0,N/A
2666189,"July 28, 2023",Washington,Seattle,"9232 Rainier Ave S",0,5,0,0,0,N/A
2666195,"July 28, 2023",Illinois,"Chicago Heights (Ford Heights)","1400 block of Senator Ln",1,4,0,0,0,N/A
2663533,"July 25, 2023",Pennsylvania,Pittsburgh,"Nicholas St and Jacob St",0,5,0,0,0,N/A
2662351,"July 24, 2023",Oklahoma,Tulsa,"11107 E Brady St",3,1,0,0,1,N/A
2662711,"July 24, 2023","New York",Bronx,"255 E Burnside Ave",1,3,0,0,2,N/A
2661359,"July 23, 2023",Florida,Tampa,"7402 N 56th St",0,5,0,0,0,N/A
2661332,"July 23, 2023",Alabama,Birmingham,"1700 block of Third Ave W",0,4,0,0,0,N/A
2661056,"July 23, 2023",Texas,Houston,"9261 Gulf Fwy",1,4,0,0,1,N/A
2661505,"July 23, 2023",Texas,Dallas,"3300 block of Sheila Lane",1,3,0,0,0,N/A
2661000,"July 23, 2023",Washington,Seattle,"Broadway and E Pike St",0,4,0,0,0,N/A
2660194,"July 22, 2023",Texas,Houston,"10700 Rosehaven Dr",1,2,0,2,0,N/A
2660568,"July 22, 2023","North Carolina",Wade,"4001 Pembroke Lane",1,3,0,0,0,N/A
2660299,"July 22, 2023",Arizona,Glendale,"6761 N Sunset Blvd",0,4,0,0,1,N/A
2661182,"July 22, 2023",Florida,"Daytona Beach","611 Seabreeze Blvd",0,4,0,0,1,N/A
2660217,"July 22, 2023",Illinois,Chicago,"1400 block of S Spaulding Ave",1,4,0,0,0,N/A
2660674,"July 22, 2023",Tennessee,Memphis,"2965 Meadows Lane",1,4,0,0,0,N/A
2659968,"July 21, 2023",Louisiana,Marrero,"6700 block of Mather Dr",1,3,0,0,0,N/A
2658784,"July 20, 2023","North Carolina",Greensboro,"1900 block of Brice St",1,3,0,0,0,N/A
2658701,"July 19, 2023",Texas,Houston,"6200 block of Luce St",2,3,0,0,0,N/A
2657179,"July 18, 2023",Pennsylvania,Philadelphia,"500 block of E Wyoming Ave",0,5,0,0,0,N/A
2657041,"July 17, 2023","District of Columbia",Washington,"1200 block of Barnaby Terrace SE",0,4,0,0,0,N/A
2656524,"July 17, 2023","South Carolina",Columbia,"4200 block of Wentworth Dr",1,3,0,0,0,N/A
