date,men_20_24_rate,women_20_24_rate,men_25plus_rate,women_25plus_rate,men_25_34_rate,women_25_34_rate,men_35_44_rate,women_35_44_rate,men_45_54_rate,women_45_54_rate,men_55plus_rate,women_55plus_rate,20_plus_overall_rate,20_plus_men_rate,20_plus_women_rate
1961-04-01,12.7,13.0,5.4,5.9,5.9,7.3,4.8,6.3,5.2,5.0,5.7,,7.322222222222221,6.616666666666667,7.5
1961-05-01,11.7,10.3,5.8,6.1,6.3,7.5,5.3,6.9,5.4,5.5,6.0,,7.211111111111112,6.75,7.26
1961-06-01,11.1,9.7,5.3,6.4,6.0,7.5,4.8,7.1,5.1,5.6,5.6,,6.944444444444444,6.316666666666666,7.260000000000001
1961-07-01,11.0,9.9,5.5,6.2,6.1,7.7,4.6,6.4,5.0,5.9,6.3,,6.988888888888889,6.416666666666667,7.220000000000001
1961-08-01,10.8,8.7,5.3,5.6,5.7,7.0,4.8,6.3,4.4,5.0,6.3,,6.555555555555555,6.216666666666666,6.519999999999999
1961-09-01,9.5,10.0,5.1,5.7,5.3,7.2,4.5,6.4,4.6,5.0,6.3,,6.533333333333333,5.883333333333333,6.859999999999999
1961-10-01,10.1,9.6,4.8,5.8,5.5,7.7,4.2,6.6,4.4,4.8,5.7,,6.511111111111111,5.783333333333334,6.899999999999999
1961-11-01,9.4,8.5,4.8,5.3,5.3,7.5,3.9,5.6,4.4,4.6,5.3,,6.055555555555555,5.516666666666666,6.3
1961-12-01,9.6,9.4,4.5,5.3,4.8,6.3,3.9,6.2,4.2,4.7,5.3,,6.044444444444444,5.383333333333333,6.38
1962-01-01,9.1,9.2,4.2,5.3,4.5,7.3,3.8,5.7,3.7,4.5,4.9,,5.855555555555555,5.033333333333334,6.4
1962-02-01,8.7,8.0,4.0,4.8,4.2,6.1,3.7,5.1,4.0,4.7,4.3,,5.422222222222222,4.816666666666666,5.74
1962-03-01,8.8,9.6,4.1,4.7,4.6,6.6,3.7,5.1,4.0,4.2,4.3,,5.655555555555555,4.916666666666667,6.04
1962-04-01,8.7,8.0,4.3,4.8,4.4,7.4,4.0,5.2,4.2,4.1,4.4,,5.6,5.0,5.9
1962-05-01,9.0,8.2,4.2,4.7,4.3,6.8,3.5,4.9,4.0,4.2,4.8,,5.522222222222222,4.966666666666667,5.76
1962-06-01,8.4,8.3,4.3,4.7,4.4,6.3,4.1,5.2,4.1,4.0,4.4,,5.466666666666666,4.95,5.7
1962-07-01,8.9,9.6,4.1,4.6,4.5,6.0,3.8,5.3,3.9,3.6,4.1,,5.522222222222222,4.883333333333333,5.82
